Numero	Code	Browser	Appl	Goog	Twtr.	One	FB	FBM	Sams.	Wind.	GMail	SB	DCM	KDDI	CLDR Short Name
55	U+1F622	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	😢	crying face
56	U+1F62D	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	😭	loudly crying face
57	U+1F626	😦	😦	😦	😦	😦	😦	😦	😦	😦	—	—	—	—	frowning face with open mouth
58	U+1F627	😧	😧	😧	😧	😧	😧	😧	😧	😧	—	—	—	—	anguished face
59	U+1F628	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	😨	—	😨	fearful face
60	U+1F629	😩	😩	😩	😩	😩	😩	😩	😩	😩	😩	—	—	😩	weary face
62	U+1F62C	😬	😬	😬	😬	😬	😬	😬	😬	😬	—	—	—	—	grimacing face
63	U+1F630	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	😰	—	😰	anxious face with sweat
64	U+1F631	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	😱	face screaming in fear
65	U+1F633	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	😳	—	😳	flushed face
67	U+1F635	😵	😵	😵	😵	😵	😵	😵	😵	😵	😵	—	😵	😵	dizzy face
68	U+1F621	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	😡	pouting face
69	U+1F620	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	😠	angry face
